,spot_price,current_time,strike_price,best_bid,best_offer,ticker,market_price
0,14137.23046875,0.989041095890411,15700.0,493.5,528.5,NDX,511.0
1,14270.419921875,0.9863013698630136,15700.0,530.6,557.9,NDX,544.25
2,14274.240234375,0.9835616438356164,15700.0,515.7,544.3,NDX,530.0
3,14365.9599609375,0.9808219178082191,15700.0,552.5,592.4,NDX,572.45
4,14345.1796875,0.978082191780822,15700.0,539.3,575.6,NDX,557.45
5,14524.98046875,0.96986301369863,15700.0,616.6,648.6,NDX,632.6
6,14572.75,0.9671232876712328,15700.0,657.4,682.7,NDX,670.05
7,14554.7998046875,0.9643835616438357,15700.0,657.2,685.3,NDX,671.25
8,14560.0498046875,0.9616438356164384,15700.0,645.5,672.1,NDX,658.8
9,14727.6298828125,0.958904109589041,15700.0,717.7,750.5,NDX,734.1
10,14786.3603515625,0.947945205479452,15700.0,757.1,788.5,NDX,772.8
11,14810.5400390625,0.9452054794520548,15700.0,771.3,801.5,NDX,786.4
12,14722.1396484375,0.9424657534246575,15700.0,748.8,779.5,NDX,764.15
13,14826.08984375,0.9397260273972604,15700.0,766.9,802.0,NDX,784.45
14,14877.8896484375,0.9315068493150684,15700.0,789.4,819.0,NDX,804.2
15,14874.5400390625,0.9287671232876712,15700.0,791.0,822.2,NDX,806.6
16,14794.6904296875,0.9232876712328768,15700.0,762.2,792.5,NDX,777.35
17,14681.3798828125,0.9205479452054794,15700.0,716.0,746.1,NDX,731.05
18,14549.08984375,0.9123287671232876,15700.0,671.0,708.5,NDX,689.75
19,14728.2099609375,0.9095890410958904,15700.0,729.7,764.6,NDX,747.1500000000001
20,14842.6298828125,0.9068493150684932,15700.0,761.7,787.6,NDX,774.6500000000001
21,14940.169921875,0.9041095890410958,15700.0,799.0,838.9,NDX,818.95
22,15111.7900390625,0.9013698630136986,15700.0,893.0,922.7,NDX,907.85
23,15125.9501953125,0.8931506849315068,15700.0,904.8,932.7,NDX,918.75
24,14956.9697265625,0.8904109589041096,15700.0,831.6,866.6,NDX,849.1
25,15018.099609375,0.8876712328767123,15700.0,847.0,877.5,NDX,862.25
26,15048.3603515625,0.8849315068493151,15700.0,849.0,885.8,NDX,867.4
27,14959.900390625,0.8821917808219178,15700.0,819.4,845.5,NDX,832.45
28,14963.6201171875,0.873972602739726,15700.0,814.2,842.3,NDX,828.25
29,15061.419921875,0.8712328767123287,15700.0,843.2,874.4,NDX,858.8
30,15083.3896484375,0.8684931506849315,15700.0,856.2,888.3,NDX,872.25
31,15181.6396484375,0.8657534246575342,15700.0,887.1,917.2,NDX,902.1500000000001
32,15109.3603515625,0.863013698630137,15700.0,841.6,870.5,NDX,856.05
33,15133.1103515625,0.8547945205479452,15700.0,853.8,883.0,NDX,868.4
34,15053.580078125,0.852054794520548,15700.0,827.3,851.3,NDX,839.3
35,15027.759765625,0.8493150684931506,15700.0,818.8,838.3,NDX,828.55
36,15088.98046875,0.8465753424657534,15700.0,853.7,867.4,NDX,860.55
37,15140.76953125,0.8356164383561644,15700.0,856.1,873.8,NDX,864.95
38,15002.830078125,0.8328767123287671,15700.0,792.5,815.8,NDX,804.15
39,14857.919921875,0.8301369863013699,15700.0,748.7,784.2,NDX,766.45
40,14933.9404296875,0.8273972602739726,15700.0,782.9,813.2,NDX,798.05
41,15092.5703125,0.8246575342465754,15700.0,849.9,876.1,NDX,863.0
42,15312.8203125,0.8164383561643835,15700.0,928.6,961.9,NDX,945.25
43,15368.919921875,0.810958904109589,15700.0,968.3,990.3,NDX,979.3
44,15278.51953125,0.8082191780821918,15700.0,937.5,957.5,NDX,947.5
45,15432.9501953125,0.8054794520547945,15700.0,984.0,1016.7,NDX,1000.35
46,15605.08984375,0.7972602739726027,15700.0,1088.6,1117.4,NDX,1103.0
47,15582.509765625,0.7945205479452054,15700.0,1077.1,1114.4,NDX,1095.75
48,15611.5703125,0.7917808219178082,15700.0,1103.5,1130.9,NDX,1117.2
49,15604.25,0.7890410958904109,15700.0,1102.9,1127.2,NDX,1115.0500000000002
50,15652.8603515625,0.7863013698630137,15700.0,1136.6,1163.1,NDX,1149.85
51,15675.759765625,0.7753424657534247,15700.0,1165.4,1198.3,NDX,1181.85
52,15561.0498046875,0.7698630136986301,15700.0,1108.0,1142.2,NDX,1125.1
53,15440.75,0.7671232876712328,15700.0,1050.6,1087.8,NDX,1069.1999999999998
54,15434.5,0.7589041095890411,15700.0,1035.5,1059.2,NDX,1047.35
55,15382.900390625,0.7561643835616438,15700.0,1011.7,1034.2,NDX,1022.95
56,15503.5302734375,0.7534246575342466,15700.0,1048.2,1072.3,NDX,1060.25
57,15515.91015625,0.7506849315068493,15700.0,1044.4,1067.7,NDX,1056.0500000000002
58,15333.4697265625,0.7479452054794521,15700.0,960.1,982.1,NDX,971.1
59,15012.1904296875,0.7397260273972602,15700.0,822.0,857.5,NDX,839.75
60,15027.76953125,0.736986301369863,15700.0,840.9,861.5,NDX,851.2
61,15176.509765625,0.7342465753424657,15700.0,856.7,884.8,NDX,870.75
62,15316.580078125,0.7315068493150685,15700.0,914.1,940.0,NDX,927.05
63,15329.6796875,0.7287671232876712,15700.0,918.4,937.1,NDX,927.75
64,15204.8203125,0.7205479452054795,15700.0,855.0,872.8,NDX,863.9
65,14770.2998046875,0.7178082191780822,15700.0,683.3,714.6,NDX,698.95
66,14752.8896484375,0.7150684931506849,15700.0,665.7,693.5,NDX,679.6
67,14689.6201171875,0.7123287671232876,15700.0,654.4,686.6,NDX,670.5
68,14791.8701171875,0.7095890410958904,15700.0,666.2,697.5,NDX,681.85
69,14472.1201171875,0.7013698630136986,15700.0,550.0,576.5,NDX,563.25
70,14674.150390625,0.6986301369863014,15700.0,623.6,639.2,NDX,631.4000000000001
71,14766.75,0.6958904109589041,15700.0,661.1,674.4,NDX,667.75
72,14897.1298828125,0.6931506849315069,15700.0,690.4,712.6,NDX,701.5
73,14820.75,0.6904109589041096,15700.0,659.6,687.7,NDX,673.6500000000001
74,14713.73046875,0.6821917808219178,15700.0,610.3,627.9,NDX,619.0999999999999
75,14662.1103515625,0.6794520547945205,15700.0,578.9,601.0,NDX,589.95
76,14774.599609375,0.6767123287671233,15700.0,595.5,608.8,NDX,602.15
77,15052.419921875,0.673972602739726,15700.0,686.3,711.6,NDX,698.95
78,15146.919921875,0.6712328767123288,15700.0,741.3,759.8,NDX,750.55
79,15300.8896484375,0.663013698630137,15700.0,830.3,851.8,NDX,841.05
80,15410.7197265625,0.6602739726027397,15700.0,872.8,892.5,NDX,882.65
81,15388.7099609375,0.6575342465753424,15700.0,863.5,876.6,NDX,870.05
82,15489.58984375,0.6547945205479452,15700.0,925.3,937.6,NDX,931.45
83,15355.0703125,0.6520547945205479,15700.0,847.4,872.8,NDX,860.0999999999999
84,15514.1904296875,0.6438356164383562,15700.0,914.5,932.9,NDX,923.7
85,15559.490234375,0.6410958904109589,15700.0,962.8,977.1,NDX,969.95
86,15598.3896484375,0.6383561643835617,15700.0,1001.8,1021.9,NDX,1011.8499999999999
